Ref,Val,Package,PosX,PosY,Rot,Side
"LED120","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",895.050000,17.775000,90.000000,top
"LED121","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",104.400000,9.600000,90.000000,top
"LED122","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",104.400000,17.600000,90.000000,top
"LED123","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",264.100000,9.600000,90.000000,top
"LED124","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",264.100000,17.600000,90.000000,top
"LED125","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",424.100000,9.650000,90.000000,top
"LED126","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",424.100000,17.600000,90.000000,top
"LED127","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",584.100000,9.600000,90.000000,top
"LED128","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",584.100000,17.600000,90.000000,top
"LED129","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",743.900000,9.700000,90.000000,top
"LED130","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",743.900000,17.700000,90.000000,top
"LED131","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",903.550000,9.775000,90.000000,top
"LED132","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",903.550000,17.775000,90.000000,top
"LED133","L1SP-DRD0002800000","L1SP-DRD0002800000",112.900000,9.600000,0.000000,top
"LED134","L1SP-DRD0002800000","L1SP-DRD0002800000",112.900000,17.600000,0.000000,top
"LED135","L1SP-DRD0002800000","L1SP-DRD0002800000",272.600000,9.600000,0.000000,top
"LED136","L1SP-DRD0002800000","L1SP-DRD0002800000",272.600000,17.600000,0.000000,top
"LED137","L1SP-DRD0002800000","L1SP-DRD0002800000",432.600000,9.650000,0.000000,top
"LED138","L1SP-DRD0002800000","L1SP-DRD0002800000",432.600000,17.600000,0.000000,top
"LED139","L1SP-DRD0002800000","L1SP-DRD0002800000",592.600000,9.600000,0.000000,top
"LED140","L1SP-DRD0002800000","L1SP-DRD0002800000",592.600000,17.600000,0.000000,top
"LED141","L1SP-DRD0002800000","L1SP-DRD0002800000",752.400000,9.700000,0.000000,top
"LED142","L1SP-DRD0002800000","L1SP-DRD0002800000",752.400000,17.700000,0.000000,top
"LED143","L1SP-DRD0002800000","L1SP-DRD0002800000",912.050000,9.775000,0.000000,top
"LED144","L1SP-DRD0002800000","L1SP-DRD0002800000",912.050000,17.775000,0.000000,top
"LED145","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",121.400000,9.600000,90.000000,top
"LED146","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",121.400000,17.600000,90.000000,top
"LED147","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",281.100000,9.600000,90.000000,top
"LED148","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",281.100000,17.600000,90.000000,top
"LED149","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",441.100000,9.650000,90.000000,top
"LED150","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",441.100000,17.600000,90.000000,top
"LED151","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",601.100000,9.600000,90.000000,top
"LED152","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",601.100000,17.600000,90.000000,top
"LED153","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",760.900000,9.700000,90.000000,top
"LED154","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",760.900000,17.700000,90.000000,top
"LED155","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",920.550000,9.775000,90.000000,top
"LED156","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",920.550000,17.775000,90.000000,top
"LED157","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",129.900000,9.600000,90.000000,top
"LED158","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",129.900000,17.600000,90.000000,top
"LED159","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",289.600000,9.600000,90.000000,top
"LED160","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",289.600000,17.600000,90.000000,top
"LED161","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",449.600000,9.650000,90.000000,top
"LED162","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",449.600000,17.600000,90.000000,top
"LED163","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",609.600000,9.600000,90.000000,top
"LED164","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",609.600000,17.600000,90.000000,top
"LED165","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",769.400000,9.700000,90.000000,top
"LED166","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",769.400000,17.700000,90.000000,top
"LED167","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",929.050000,9.775000,90.000000,top
"LED168","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",929.050000,17.775000,90.000000,top
"LED169","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",138.400000,9.600000,90.000000,top
"LED170","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",138.400000,17.600000,90.000000,top
"LED171","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",298.100000,9.600000,90.000000,top
"LED172","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",298.100000,17.600000,90.000000,top
"LED173","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",458.100000,9.650000,90.000000,top
"LED174","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",458.100000,17.600000,90.000000,top
